[2025-11-20 17:05:59] minutos=180; filiais=all; count=2
[2025-11-20 17:06:27] minutos=180; filiais=all; count=2
[2025-11-20 17:07:17] minutos=60; filiais=all; count=1
[2025-11-20 17:07:27] minutos=60; filiais=all; count=1
[2025-11-20 17:07:30] minutos=60; filiais=all; count=1
[2025-11-20 17:07:33] minutos=60; filiais=all; count=1
[2025-11-20 17:07:36] minutos=60; filiais=all; count=1
[2025-11-20 17:07:39] minutos=60; filiais=all; count=1
[2025-11-20 17:07:42] minutos=60; filiais=all; count=1
[2025-11-20 17:07:45] minutos=60; filiais=all; count=1
[2025-11-20 17:07:48] minutos=60; filiais=all; count=1
[2025-11-20 17:07:51] minutos=60; filiais=all; count=1
[2025-11-20 17:07:54] minutos=60; filiais=all; count=1
[2025-11-20 17:07:57] minutos=60; filiais=all; count=1
[2025-11-20 17:08:00] minutos=60; filiais=all; count=1
[2025-11-20 17:08:03] minutos=60; filiais=all; count=1
[2025-11-20 17:08:06] minutos=60; filiais=all; count=1
[2025-11-20 17:08:09] minutos=60; filiais=all; count=1
[2025-11-20 17:08:12] minutos=60; filiais=all; count=1
[2025-11-20 17:16:16] minutos=60; filiais=all; count=1
[2025-11-20 17:16:20] minutos=60; filiais=all; count=1
[2025-11-20 17:16:23] minutos=60; filiais=all; count=1
[2025-11-20 17:16:26] minutos=60; filiais=all; count=1
[2025-11-20 17:16:29] minutos=60; filiais=all; count=1
[2025-11-20 17:16:32] minutos=60; filiais=all; count=1
[2025-11-20 17:16:35] minutos=60; filiais=all; count=1
[2025-11-20 17:16:38] minutos=60; filiais=all; count=1
[2025-11-20 17:16:41] minutos=60; filiais=all; count=1
[2025-11-20 17:16:44] minutos=60; filiais=all; count=1
[2025-11-20 17:16:47] minutos=60; filiais=all; count=1
[2025-11-20 17:16:50] minutos=60; filiais=all; count=1
[2025-11-20 17:16:53] minutos=60; filiais=all; count=1
[2025-11-20 17:16:56] minutos=60; filiais=all; count=1
[2025-11-20 17:16:59] minutos=60; filiais=all; count=1
[2025-11-20 17:17:02] minutos=60; filiais=all; count=0
[2025-11-20 17:17:05] minutos=60; filiais=all; count=0
[2025-11-20 17:17:08] minutos=60; filiais=all; count=0
[2025-11-20 17:17:11] minutos=60; filiais=all; count=0
[2025-11-20 17:17:14] minutos=60; filiais=all; count=0
[2025-11-20 17:17:17] minutos=60; filiais=all; count=0
[2025-11-20 17:17:20] minutos=60; filiais=all; count=0
[2025-11-20 17:17:23] minutos=60; filiais=all; count=0
[2025-11-20 17:17:26] minutos=60; filiais=all; count=0
[2025-11-20 17:17:29] minutos=60; filiais=all; count=0
[2025-11-20 17:17:32] minutos=60; filiais=all; count=0
[2025-11-20 17:17:35] minutos=60; filiais=all; count=0
[2025-11-20 17:17:38] minutos=60; filiais=all; count=0
[2025-11-20 17:17:41] minutos=60; filiais=all; count=0
[2025-11-20 17:17:44] minutos=60; filiais=all; count=0
[2025-11-20 17:17:47] minutos=60; filiais=all; count=0
[2025-11-20 17:17:50] minutos=60; filiais=all; count=0
[2025-11-20 17:17:53] minutos=60; filiais=all; count=0
[2025-11-20 17:17:56] minutos=60; filiais=all; count=0
[2025-11-20 17:17:59] minutos=60; filiais=all; count=0
[2025-11-20 17:18:02] minutos=60; filiais=all; count=0
[2025-11-20 17:18:05] minutos=60; filiais=all; count=0
[2025-11-20 17:18:08] minutos=60; filiais=all; count=0
[2025-11-20 17:18:11] minutos=60; filiais=all; count=0
[2025-11-20 17:18:14] minutos=60; filiais=all; count=0
[2025-11-20 17:18:17] minutos=60; filiais=all; count=0
[2025-11-20 17:18:20] minutos=60; filiais=all; count=0
[2025-11-20 17:18:23] minutos=60; filiais=all; count=0
[2025-11-20 17:18:26] minutos=60; filiais=all; count=0
[2025-11-20 17:18:29] minutos=60; filiais=all; count=0
[2025-11-20 17:18:32] minutos=60; filiais=all; count=0
[2025-11-20 17:18:35] minutos=60; filiais=all; count=0
[2025-11-20 17:18:38] minutos=60; filiais=all; count=0
[2025-11-20 17:18:41] minutos=60; filiais=all; count=0
[2025-11-20 17:18:44] minutos=60; filiais=all; count=0
[2025-11-20 17:18:47] minutos=60; filiais=all; count=0
[2025-11-20 17:18:50] minutos=60; filiais=all; count=0
[2025-11-20 17:18:53] minutos=60; filiais=all; count=0
[2025-11-20 17:18:56] minutos=60; filiais=all; count=0
[2025-11-20 17:18:59] minutos=60; filiais=all; count=0
[2025-11-20 17:19:02] minutos=60; filiais=all; count=0
[2025-11-20 17:19:05] minutos=60; filiais=all; count=0
[2025-11-20 17:19:08] minutos=60; filiais=all; count=0
[2025-11-20 17:19:11] minutos=60; filiais=all; count=0
[2025-11-20 17:19:14] minutos=60; filiais=all; count=0
[2025-11-20 17:19:17] minutos=60; filiais=all; count=0
[2025-11-20 17:19:20] minutos=60; filiais=all; count=0
[2025-11-20 17:19:23] minutos=60; filiais=all; count=0
[2025-11-20 17:19:26] minutos=60; filiais=all; count=0
[2025-11-20 17:19:29] minutos=60; filiais=all; count=0
[2025-11-20 17:19:32] minutos=60; filiais=all; count=0
[2025-11-20 17:19:35] minutos=60; filiais=all; count=0
[2025-11-20 17:19:38] minutos=60; filiais=all; count=0
[2025-11-20 17:19:41] minutos=60; filiais=all; count=0
[2025-11-20 17:19:44] minutos=60; filiais=all; count=0
[2025-11-20 17:19:47] minutos=60; filiais=all; count=0
[2025-11-20 17:19:51] minutos=60; filiais=all; count=0
[2025-11-20 17:19:54] minutos=60; filiais=all; count=0
[2025-11-20 17:19:57] minutos=60; filiais=all; count=0
[2025-11-20 17:20:00] minutos=60; filiais=all; count=0
[2025-11-20 17:20:03] minutos=60; filiais=all; count=0
[2025-11-20 17:20:06] minutos=60; filiais=all; count=0
[2025-11-20 17:20:09] minutos=60; filiais=all; count=0
[2025-11-20 17:20:12] minutos=60; filiais=all; count=0
[2025-11-20 17:20:15] minutos=60; filiais=all; count=0
[2025-11-20 17:20:18] minutos=60; filiais=all; count=0
[2025-11-20 17:20:21] minutos=60; filiais=all; count=0
[2025-11-20 17:20:24] minutos=60; filiais=all; count=0
[2025-11-20 17:20:27] minutos=60; filiais=all; count=0
[2025-11-20 17:20:30] minutos=60; filiais=all; count=0
[2025-11-20 17:20:33] minutos=60; filiais=all; count=0
[2025-11-20 17:20:36] minutos=60; filiais=all; count=0
[2025-11-20 17:20:39] minutos=60; filiais=all; count=0
[2025-11-20 17:20:42] minutos=60; filiais=all; count=0
